Target_ID,Target_name,CUI,Gene_name,Uni_ID
BE0000032,Dehydrogenase/reductase_SDR_family_member_4,,DHRS4,Q9BTZ2
BE0000033,Insulin_receptor,C0034818,INSR,P06213
BE0000034,Probable_arabinosyltransferase_A,,embA,P9WNL9
BE0000035,Cystinosin,C0673149,CTNS,O60931
BE0000036,RAF_proto-oncogene_serine/threonine-protein_kinase,C0139905,RAF1,P04049
BE0000037,"NADH_dehydrogenase_[ubiquinone]_iron-sulfur_protein_8,_mitochondrial",C1417651,NDUFS8,O00217
BE0000038,Phenylalanine--tRNA_ligase_alpha_subunit,,FARSA,Q9Y285
BE0000039,Transketolase,C0040709,TKT,P29401
BE0000040,"Lipoyltransferase_1,_mitochondrial",,LIPT1,Q9Y234
BE0000041,Coagulation_factor_V,C0015498,F5,P12259
BE0000042,Pyridoxal_kinase,C0034265,PDXK,O00764
BE0000043,Endothelin_B_receptor,C0218584,EDNRB,P24530
BE0000044,"Sterol-4-alpha-carboxylate_3-dehydrogenase,_decarboxylating",,NSDHL,Q15738
BE0000045,Muscarinic_acetylcholine_receptor_M3,C4045009,CHRM3,P20309
BE0000046,Pyruvate_kinase_PKLR,,PKLR,P30613
BE0000047,Solute_carrier_family_12_member_5,C1422213,SLC12A5,Q9H2X9
BE0000048,Prothrombin,C0033706,F2,P00734
BE0000049,High_affinity_immunoglobulin_epsilon_receptor_subunit_gamma,,FCER1G,P30273
BE0000050,Delta-aminolevulinic_acid_dehydratase,C0002564,ALAD,P13716
BE0000051,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1,C3489584,HSD3B1,P14060
BE0000052,Cationic_amino_acid_transporter_4,C1420224,SLC7A4,O43246
BE0000054,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine_pyrophosphokinase,C0045836,folK,P9WNC7
BE0000055,Glycine_receptor_subunit_beta,,GLRB,P48167
BE0000056,Malate_dehydrogenase,C0024544,mdh,P61889
BE0000057,Neuraminidase,C0027803,NA,P06818
BE0000058,Matrix_metalloproteinase-9,C0165519,MMP9,P14780
BE0000059,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_2,C3538859,HSD3B2,P26439
BE0000060,Prolyl_4-hydroxylase_subunit_alpha-1,,P4HA1,P13674
BE0000061,Cannabinoid_receptor_1,C1413554,CNR1,P21554
BE0000062,Type-1_angiotensin_II_receptor,,AGTR1,P30556
BE0000063,"Serine--tRNA_ligase,_cytoplasmic",,SARS,P49591
BE0000064,Prostaglandin_E2_receptor_EP1_subtype,,PTGER1,P34995
BE0000065,"Dihydrolipoyllysine-residue_acetyltransferase_component_of_pyruvate_dehydrogenase_complex,_mitochondrial",,DLAT,P10515
BE0000066,B-lymphocyte_antigen_CD20,C3887681,MS4A1,P11836
BE0000067,"Nitric_oxide_synthase,_brain",C0907533,NOS1,P29475
BE0000068,L-lactate_dehydrogenase_B_chain,,LDHB,P07195
BE0000069,"Acetyl-CoA_acetyltransferase,_mitochondrial",,ACAT1,P24752
BE0000070,Group_10_secretory_phospholipase_A2,,PLA2G10,O15496
BE0000071,Peroxisome_proliferator-activated_receptor_alpha,C0166415,PPARA,Q07869
BE0000072,"Methylcrotonoyl-CoA_carboxylase_beta_chain,_mitochondrial",,MCCC2,Q9HCC0
BE0000073,"Alpha-aminoadipic_semialdehyde_synthase,_mitochondrial",,AASS,Q9UDR5
BE0000074,Nuclear_receptor_subfamily_0_group_B_member_1,C1417820,NR0B1,P51843
BE0000075,Growth_hormone_receptor,C0034839,GHR,P10912
BE0000076,SEC14-like_protein_4,,SEC14L4,Q9UDX3
BE0000077,Hypoxanthine-guanine_phosphoribosyltransferase,C0020687,HPRT1,P00492
BE0000078,Retinoic_acid_receptor_RXR-beta,C0527031,RXRB,P28702
BE0000079,Cysteine_sulfinic_acid_decarboxylase,C0163258,CSAD,Q9Y600
BE0000080,Tryptophan_5-hydroxylase_2,,TPH2,Q8IWU9
BE0000081,"NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_10,_mitochondrial",,NDUFA10,O95299
BE0000082,Creatine_kinase_B-type,C3714613,CKB,P12277
BE0000083,CAMPATH-1_antigen,C0376272,CD52,P31358
BE0000084,5-hydroxytryptamine_receptor_4,C1415813,HTR4,Q13639
BE0000085,Ferritin_light_chain,C0391764,FTL,P02792
BE0000086,Histidine_ammonia-lyase,C0019601,HAL,P42357
BE0000087,"Procollagen-lysine,2-oxoglutarate_5-dioxygenase_1",C1538681,PLOD1,Q02809
BE0000088,Pyruvate_kinase_PKM,C2698922,PKM,P14618
BE0000089,NADH_dehydrogenase_[ubiquinone]_iron-sulfur_protein_5,C1417648,NDUFS5,O43920
BE0000090,Potassium_voltage-gated_channel_subfamily_H_member_2,C1416572,KCNH2,Q12809
BE0000091,"DNA_topoisomerase_I,_mitochondrial",,TOP1MT,Q969P6
BE0000092,Muscarinic_acetylcholine_receptor_M1,C1318050,CHRM1,P11229
BE0000093,"NADH_dehydrogenase_[ubiquinone]_iron-sulfur_protein_6,_mitochondrial",C1417649,NDUFS6,O75380
BE0000094,Sodium-dependent_multivitamin_transporter,C1420205,SLC5A6,Q9Y289
BE0000095,Cannabinoid_receptor_2,C1413555,CNR2,P34972
BE0000096,Methylsterol_monooxygenase_1,C1419825,MSMO1,Q15800
BE0000097,Mitochondrial_carnitine/acylcarnitine_carrier_protein_CACL,,SLC25A29,Q8N8R3
BE0000098,"Pyruvate_dehydrogenase_E1_component_subunit_beta,_mitochondrial",,PDHB,P11177
BE0000099,Cysteinyl_leukotriene_receptor_2,C0916696,CYSLTR2,Q9NS75
BE0000100,L-lactate_dehydrogenase_A-like_6B,,LDHAL6B,Q9BYZ2
BE0000101,S-adenosylmethionine_decarboxylase_proenzyme,C3539529,AMD1,P17707
BE0000102,"Alanine--glyoxylate_aminotransferase_2,_mitochondrial",,AGXT2,Q9BYV1
BE0000103,Penicillin-binding_protein_2,C0135892,mrdA,P44469
BE0000104,Ketimine_reductase_mu-crystallin,,CRYM,Q14894
BE0000105,Sterol_O-acyltransferase_1,C1420304,SOAT1,P35610
BE0000106,Solute_carrier_family_22_member_5,C1420140,SLC22A5,O76082
BE0000107,Carcinoembryonic_antigen-related_cell_adhesion_molecule_1,C1413306,CEACAM1,P13688
BE0000109,N-acylglucosamine_2-epimerase,C1419339,RENBP,P51606
BE0000110,P2Y_purinoceptor_12,,P2RY12,Q9H244
BE0000111,Diamine_acetyltransferase_1,C2744672,SAT1,P21673
BE0000112,Histamine_H2_receptor,C0034815,HRH2,P25021
BE0000113,DNA_polymerase_beta,C0525039,POLB,P06746
BE0000114,D-lactate_dehydrogenase,C0112125,dld,P06149
BE0000115,Adenine_phosphoribosyltransferase,C0001414,APRT,P07741
BE0000116,Evolved_beta-galactosidase_subunit_alpha,,ebgA,P06864
BE0000117,Prostacyclin_synthase,C0072259,PTGIS,Q16647
BE0000118,Synaptic_vesicular_amine_transporter,C3539788,SLC18A2,Q05940
BE0000119,ATP-binding_cassette_sub-family_A_member_1,C0916204,ABCA1,O95477
BE0000120,Dihydropteroate_synthase_type-1,,sulI,Q49184
BE0000121,Tryptophan_5-hydroxylase_1,C1566598,TPH1,P17752
BE0000122,Probable_arabinosyltransferase_B,,embB,P9WNL7
BE0000123,Estrogen_receptor_alpha,C0665341,ESR1,P03372
BE0000124,Bifunctional_protein_FolC,,folC,P08192
BE0000125,Interleukin-3,C0021757,IL3,P08700
BE0000126,Aldo-keto_reductase_family_1_member_C1,C1412324,AKR1C1,Q04828
BE0000127,30S_ribosomal_protein_S9,,rpsI,P0A7X3
BE0000128,"3-hydroxyisobutyrate_dehydrogenase,_mitochondrial",,HIBADH,P31937
BE0000129,Gamma-aminobutyric_acid_receptor_subunit_rho-1,,GABRR1,P24046
BE0000130,Hemoglobin_subunit_alpha,C0544482,HBA1,P69905
BE0000131,Corticosteroid_11-beta-dehydrogenase_isozyme_2,,HSD11B2,P80365
BE0000132,Androgen_receptor,C0034786,AR,P10275
BE0000133,"Aldehyde_dehydrogenase,_mitochondrial",C2827577,ALDH2,P05091
BE0000134,Lutropin-choriogonadotropic_hormone_receptor,C1152776,LHCGR,P22888
BE0000135,Alpha-aminoadipic_semialdehyde_dehydrogenase,C1412691,ALDH7A1,P49419
BE0000136,Cationic_amino_acid_transporter_3,C1420223,SLC7A3,Q8WY07
BE0000137,"NADH_dehydrogenase_[ubiquinone]_flavoprotein_2,_mitochondrial",C1417653,NDUFV2,P19404
BE0000138,Dopamine_beta-hydroxylase,C0013032,DBH,P09172
BE0000139,AFG3-like_protein_2,,AFG3L2,Q9Y4W6
BE0000140,Solute_carrier_family_12_member_6,C1420094,SLC12A6,Q9UHW9
BE0000141,Sodium_channel_protein_type_1_subunit_alpha,C3537394,SCN1A,P35498
BE0000142,Penicillin-binding_protein_2B,C0525278,penA,P0A3M5
BE0000143,Tubulin_beta_chain,C3539817,TUBB,P07437
BE0000144,Retinoic_acid_receptor_gamma,C0140281,RARG,P13631
BE0000145,D(1B)_dopamine_receptor,C0114836,DRD5,P21918
BE0000146,Histamine_H4_receptor,C4505182,HRH4,Q9H3N8
BE0000147,Receptor-type_tyrosine-protein_kinase_FLT3,C0251006,FLT3,P36888
BE0000148,"NAD-dependent_malic_enzyme,_mitochondrial",C1417093,ME2,P23368
BE0000149,L-lactate_dehydrogenase_C_chain,,LDHC,P07864
BE0000151,"Cysteine_desulfurase,_mitochondrial",,NFS1,Q9Y697
BE0000152,"Succinate-semialdehyde_dehydrogenase,_mitochondrial",,ALDH5A1,P51649
BE0000154,Potassium_channel_subfamily_K_member_1,,KCNK1,O00180
BE0000155,Toll-like_receptor_7,C0971207,TLR7,Q9NYK1
BE0000156,Sigma_non-opioid_intracellular_receptor_1,C1417966,SIGMAR1,Q99720
BE0000157,Thiamin_pyrophosphokinase_1,C1424931,TPK1,Q9H3S4
BE0000158,30S_ribosomal_protein_S10,,rpsJ,P0A7R5
BE0000159,Biotin--protein_ligase,,HLCS,P50747
BE0000160,NADH-cytochrome_b5_reductase_3,C1824843,CYB5R3,P00387
BE0000161,D-3-phosphoglycerate_dehydrogenase,C0070861,PHGDH,O43175
BE0000162,"2-oxoglutarate_dehydrogenase,_mitochondrial",,OGDH,Q02218
BE0000163,Vascular_endothelial_growth_factor_A,C0078058,VEGFA,P15692
BE0000164,L-serine_dehydratase/L-threonine_deaminase,,SDS,P20132
BE0000165,Vasopressin_V1a_receptor,C0284725,AVPR1A,P37288
BE0000166,Glutamate--cysteine_ligase_catalytic_subunit,C1522376,GCLC,P48506
BE0000167,DNA_ligase_3,C1416853,LIG3,P49916
BE0000168,Solute_carrier_family_23_member_1,C1420145,SLC23A1,Q9UHI7
BE0000169,NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_4,,NDUFA4,O00483
BE0000170,Mitochondrial_peptide_methionine_sulfoxide_reductase,,MSRA,Q9UJ68
BE0000171,"Creatine_kinase_U-type,_mitochondrial",,CKMT1A,P12532
BE0000172,Beta-1_adrenergic_receptor,C0001642,ADRB1,P08588
BE0000173,NADH_dehydrogenase_[ubiquinone]_1_subunit_C2,,NDUFC2,O95298
BE0000174,Monocarboxylate_transporter_7,C1420107,SLC16A6,O15403
BE0000175,"D-beta-hydroxybutyrate_dehydrogenase,_mitochondrial",,BDH1,Q02338
BE0000176,"Succinate_dehydrogenase_[ubiquinone]_flavoprotein_subunit,_mitochondrial",C3541238,SDHA,P31040
BE0000177,Sodium_channel_protein_type_10_subunit_alpha,C3253462,SCN10A,Q9Y5Y9
BE0000178,Monocarboxylate_transporter_8,C1420103,SLC16A2,P36021
BE0000179,"Carnitine_O-palmitoyltransferase_2,_mitochondrial",,CPT2,P23786
BE0000180,"Glutamate_dehydrogenase_1,_mitochondrial",,GLUD1,P00367
BE0000181,Pyridoxine-5'-phosphate_oxidase,,PNPO,Q9NVS9
BE0000182,"cGMP-specific_3',5'-cyclic_phosphodiesterase",C1447683,PDE5A,O76074
BE0000183,B-cell_receptor_CD22,C1505685,CD22,P20273
BE0000184,3-keto-steroid_reductase,C1334066,HSD17B7,P56937
BE0000185,Glutathione_synthetase,C0017834,GSS,P48637
BE0000186,DNA-directed_RNA_polymerase_subunit_beta',,rpoC,P9WGY7
BE0000187,Aspartoacylase,C0052538,ASPA,P45381
BE0000188,Bifunctional_glutamate/proline--tRNA_ligase,,EPRS,P07814
BE0000189,Scavenger_receptor_class_B_member_1,C1413218,SCARB1,Q8WTV0
BE0000190,Amiloride-sensitive_sodium_channel_subunit_alpha,,SCNN1A,P37088
BE0000191,"NADH_dehydrogenase_[ubiquinone]_iron-sulfur_protein_3,_mitochondrial",C1417646,NDUFS3,O75489
BE0000192,Sodium_channel_protein_type_11_subunit_alpha,C3494340,SCN11A,Q9UI33
BE0000193,Aldehyde_dehydrogenase_family_3_member_B2,,ALDH3B2,P48448
BE0000194,Estradiol_17-beta-dehydrogenase_1,C1738873,HSD17B1,P14061
BE0000195,Monocarboxylate_transporter_5,C0913710,SLC16A4,O15374
BE0000196,NADH-ubiquinone_oxidoreductase_chain_3,C1537991,MT-ND3,P03897
BE0000197,Sodium_channel_protein_type_5_subunit_alpha,C1121069,SCN5A,Q14524
BE0000198,Lysine--tRNA_ligase,,KARS,Q15046
BE0000199,DNA_ligase_1,C0114615,LIG1,P18858
BE0000201,Mitochondrial_ornithine_transporter_1,,SLC25A15,Q9Y619
BE0000202,NEDD8-activating_enzyme_E1_regulatory_subunit,C3272392,NAE1,Q13564
BE0000203,Gonadotropin-releasing_hormone_receptor,C0034811,GNRHR,P30968
BE0000204,"Probable_leucine--tRNA_ligase,_mitochondrial",,LARS2,Q15031
BE0000205,Platelet-derived_growth_factor_receptor_beta,C3853695,PDGFRB,P09619
BE0000206,Retinoic_acid_receptor_beta,C0140280,RARB,P10826
BE0000207,ATP-binding_cassette_sub-family_C_member_8,,ABCC8,Q09428
BE0000208,"Glycerol-3-phosphate_dehydrogenase_[NAD(+)],_cytoplasmic",,GPD1,P21695
BE0000209,Corticosteroid-binding_globulin,C0040643,SERPINA6,P08185
BE0000210,Potassium_channel_subfamily_K_member_2,,KCNK2,O95069
BE0000211,Plasminogen,C0032140,PLG,P00747
BE0000212,High_affinity_cationic_amino_acid_transporter_1,,SLC7A1,P30825
BE0000213,NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_6,,NDUFA6,P56556
BE0000214,Histo-blood_group_ABO_system_transferase,C3888277,ABO,P16442
BE0000215,Peroxisome_proliferator-activated_receptor_gamma,C0166417,PPARG,P37231
BE0000216,Coagulation_factor_X,C0015518,F10,P00742
BE0000217,Gamma-aminobutyric_acid_type_B_receptor_subunit_1,C1414904,GABBR1,Q9UBS5
BE0000218,Calcium-transporting_ATPase_type_2C_member_1,C1421881,ATP2C1,P98194
BE0000219,Asparagine_synthetase_[glutamine-hydrolyzing],,ASNS,P08243
BE0000220,Ribosyldihydronicotinamide_dehydrogenase_[quinone],C3538814,NQO2,P16083
BE0000221,Angiotensin-converting_enzyme,C0022709,ACE,P12821
BE0000223,Valine--tRNA_ligase,,VARS,P26640
BE0000224,NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_1,,NDUFA1,O15239
BE0000225,"Pyrroline-5-carboxylate_reductase_1,_mitochondrial",,PYCR1,P32322
BE0000227,Alcohol_dehydrogenase_1A,,ADH1A,P07327
BE0000228,"Tryptophan--tRNA_ligase,_cytoplasmic",,WARS,P23381
BE0000229,Sodium/potassium-transporting_ATPase_subunit_gamma,,FXYD2,P54710
BE0000230,"Tyrosine--tRNA_ligase,_cytoplasmic",C0041497,YARS,P54577
BE0000231,"Methylmalonate-semialdehyde_dehydrogenase_[acylating],_mitochondrial",,ALDH6A1,Q02252
BE0000232,Microsomal_triglyceride_transfer_protein_large_subunit,C1741347,MTTP,P55157
BE0000233,Lanosterol_14-alpha_demethylase,,ERG11,P10613
BE0000234,"Threonine--tRNA_ligase,_cytoplasmic",,TARS,P26639
BE0000235,Calcium-binding_mitochondrial_carrier_protein_Aralar1,,SLC25A12,O75746
BE0000236,Neutral_amino_acid_transporter_B(0),C0765165,SLC1A5,Q15758
BE0000238,Transcobalamin-1,,TCN1,P20061
BE0000239,Lipoprotein_lipase,C0023816,LPL,P06858
BE0000240,Plasminogen_activator_inhibitor_1,C0030190,SERPINE1,P05121
BE0000241,Adenosine_receptor_A2b,C1527413,ADORA2B,P29275
BE0000242,"Adrenodoxin,_mitochondrial",,FDX1,P10109
BE0000243,"NADH_dehydrogenase_[ubiquinone]_1_beta_subcomplex_subunit_5,_mitochondrial",,NDUFB5,O43674
BE0000244,"Delta-1-pyrroline-5-carboxylate_dehydrogenase,_mitochondrial",,ALDH4A1,P30038
BE0000245,NADH_dehydrogenase_[ubiquinone]_1_beta_subcomplex_subunit_10,,NDUFB10,O96000
BE0000246,Apoptosis_regulator_Bcl-2,C4042483,BCL2,P10415
BE0000247,Muscarinic_acetylcholine_receptor_M5,C1334834,CHRM5,P08912
BE0000248,Arachidonate_5-lipoxygenase,C0003693,ALOX5,P09917
BE0000249,Sodium-_and_chloride-dependent_GABA_transporter_1,,SLC6A1,P30531
BE0000250,Purine_nucleoside_phosphorylase,C0034135,PNP,P00491
BE0000252,Tyrosinase,C0012524,TYR,P14679
BE0000253,"4-aminobutyrate_aminotransferase,_mitochondrial",,ABAT,P80404
BE0000254,5'-AMP-activated_protein_kinase_subunit_beta-1,,PRKAB1,Q9Y478
BE0000255,Retinol-binding_protein_3,C1419319,RBP3,P10745
BE0000256,SEC14-like_protein_2,,SEC14L2,O76054
BE0000257,DNA-directed_RNA_polymerase_subunit_beta,,rpoB,P0A8V2
BE0000258,Mitochondrial_ornithine_transporter_2,,SLC25A2,Q9BXI2
BE0000259,"Beta-1,4-galactosyltransferase_1",C1412719,B4GALT1,P15291
BE0000260,"Trifunctional_enzyme_subunit_alpha,_mitochondrial",,HADHA,P40939
BE0000261,Cytosolic_purine_5'-nucleotidase,C1701467,NT5C2,P49902
BE0000262,Prostaglandin_G/H_synthase_2,C1367485,PTGS2,P35354
BE0000263,"Nitric_oxide_synthase,_endothelial",C0669365,NOS3,P29474
BE0000264,Activin_receptor_type-1,C1447968,ACVR1,Q04771
BE0000266,Neprilysin,C0025250,MME,P08473
BE0000267,Carbonic_anhydrase_1,C1413038,CA1,P00915
BE0000268,"Bifunctional_methylenetetrahydrofolate_dehydrogenase/cyclohydrolase,_mitochondrial",C3540574,MTHFD2,P13995
BE0000269,Adenylate_cyclase_type_1,,ADCY1,Q08828
BE0000270,Renin,C0035094,REN,P00797
BE0000271,Folate_receptor_beta,C0525271,FOLR2,P14207
BE0000272,NADH-ubiquinone_oxidoreductase_chain_4L,C1537993,MT-ND4L,P03901
BE0000273,Kynurenine--oxoglutarate_transaminase_1,,CCBL1,Q16773
BE0000274,T-cell_surface_glycoprotein_CD3_epsilon_chain,C0759310,CD3E,P07766
BE0000276,Solute_carrier_family_12_member_7,C1420095,SLC12A7,Q9Y666
BE0000277,Calcium-binding_mitochondrial_carrier_protein_Aralar2,C0069887,SLC25A13,Q9UJS0
BE0000278,Pyridoxal_phosphate_phosphatase,C0072718,PDXP,Q96GD0
BE0000279,30S_ribosomal_protein_S12,,rpsL,P0A7S3
BE0000280,Antithrombin-III,C2717481,SERPINC1,P01008
BE0000281,Solute_carrier_family_12_member_2,C0525933,SLC12A2,P55011
BE0000282,RNA-directed_RNA_polymerase_catalytic_subunit,,PB1,P16502
BE0000283,Tubulin_beta_chain,C3539817,TUB2,P10875
BE0000284,NADH_dehydrogenase_[ubiquinone]_1_beta_subcomplex_subunit_3,,NDUFB3,O43676
BE0000285,Sodium-coupled_neutral_amino_acid_transporter_3,C3810658,SLC38A3,Q99624
BE0000286,Arginase-1,C3500855,ARG1,P05089
BE0000287,4-trimethylaminobutyraldehyde_dehydrogenase,,ALDH9A1,P49189
BE0000289,Alpha-2A_adrenergic_receptor,C0391398,ADRA2A,P08913
BE0000290,"HCG20471,_isoform_CRA_c",,SIGMAR1,Q5T1J1
BE0000291,5-hydroxytryptamine_receptor_1A,C1415803,HTR1A,P08908
BE0000292,"Serine_hydroxymethyltransferase,_mitochondrial",C1420040,SHMT2,P34897
BE0000293,Vasopressin_V2_receptor,C0162829,AVPR2,P30518
BE0000294,"Alanine--tRNA_ligase,_cytoplasmic",,AARS,P49588
BE0000295,NADH_dehydrogenase_[ubiquinone]_1_beta_subcomplex_subunit_4,,NDUFB4,O95168
BE0000296,Prostaglandin_D2_receptor,C0072269,PTGDR,Q13258
BE0000297,L-lactate_dehydrogenase_A-like_6A,,LDHAL6A,Q6ZMR3
BE0000298,Glutathione_reductase,C0017824,gor,P06715
BE0000299,Sorbitol_dehydrogenase,C0020809,SORD,Q00796
BE0000301,Retinol-binding_protein_1,C0291905,RBP1,P09455
BE0000302,Beta-lactamase,C0597979,blaZ,P00807
BE0000303,Voltage-dependent_L-type_calcium_channel_subunit_beta-1,,CACNB1,Q02641
BE0000304,S-adenosylmethionine_synthase_isoform_type-2,,MAT2A,P31153
BE0000305,"NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_9,_mitochondrial",,NDUFA9,Q16795
BE0000306,"Ornithine_carbamoyltransferase,_mitochondrial",C3887649,OTC,P00480
BE0000307,"NADH_dehydrogenase_[ubiquinone]_iron-sulfur_protein_7,_mitochondrial",C1417650,NDUFS7,O75251
BE0000308,DNA_polymerase_catalytic_subunit,,,P04293
BE0000309,Arachidonate_15-lipoxygenase,C0003692,ALOX15,P16050
BE0000310,Apoptotic_protease-activating_factor_1,C0664613,APAF1,O14727
BE0000311,5-hydroxytryptamine_receptor_3A,C1333933,HTR3A,P46098
BE0000312,DNA_polymerase/reverse_transcriptase,,P,P24024
BE0000313,"NADH_dehydrogenase_[ubiquinone]_1_subunit_C1,_mitochondrial",,NDUFC1,O43677
BE0000314,Retinol-binding_protein_4,C1419320,RBP4,P02753
BE0000315,Thyroid_hormone_receptor_beta,C0242469,THRB,P10828
BE0000316,Serine--pyruvate_aminotransferase,,AGXT,P21549
BE0000317,3-hydroxyacyl-CoA_dehydrogenase_type-2,,HSD17B10,Q99714
BE0000318,Secretin_receptor,C0074254,SCTR,P47872
BE0000319,NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_4-like_2,,NDUFA4L2,Q9NRX3
BE0000320,"Methylmalonic_aciduria_type_A_protein,_mitochondrial",,MMAA,Q8IVH4
BE0000321,GMP_synthase_[glutamine-hydrolyzing],C0061779,GMPS,P49915
BE0000322,Carbonic_anhydrase_2,C0007034,CA2,P00918
BE0000323,Cystathionine_beta-synthase,C0010641,CBS,P35520
BE0000324,Thymidylate_synthase,C0040085,TYMS,P04818
BE0000325,Ribonucleoside-diphosphate_reductase_large_subunit,C1259395,RRM1,P23921
BE0000326,Fibroblast_growth_factor_4,C0084220,FGF4,P08620
BE0000327,Melatonin_receptor_type_1B,C2698040,MTNR1B,P49286
BE0000328,"NADP-dependent_malic_enzyme,_mitochondrial",,ME3,Q16798
BE0000329,Corticosteroid_11-beta-dehydrogenase_isozyme_1,C3715112,HSD11B1,P28845
BE0000330,Dihydrofolate_reductase,C0039667,DHFR,P00374
BE0000331,"Serine_hydroxymethyltransferase,_cytosolic",C1420038,SHMT1,P34896
BE0000332,Enoyl-[acyl-carrier-protein]_reductase_[NADH],,inhA,P9WGR1
BE0000333,Coagulation_factor_VII,C0015502,F7,P08709
BE0000334,Urease_subunit_alpha,,ureC,P18314
BE0000335,Cytochrome_c_oxidase_subunit_1,C4284184,MT-CO1,P00395
BE0000336,Testosterone_17-beta-dehydrogenase_3,C3537348,HSD17B3,P37058
BE0000337,Transthyretin,C0032923,TTR,P02766
BE0000338,NADH_dehydrogenase_[ubiquinone]_1_beta_subcomplex_subunit_1,,NDUFB1,O75438
BE0000339,SEC14-like_protein_3,,SEC14L3,Q9UDX4
BE0000340,Protein_amnionless,,AMN,Q9BXJ7
BE0000341,Beta-adrenergic_receptor_kinase_1,C0753114,ADRBK1,P25098
BE0000342,Alpha-2C_adrenergic_receptor,C0296719,ADRA2C,P18825
BE0000343,DNA_polymerase_catalytic_subunit,,UL54,P08546
BE0000344,"Steroid_17-alpha-hydroxylase/17,20_lyase",C0038302,CYP17A1,P05093
BE0000345,Prolactin_receptor,C0034834,PRLR,P16471
BE0000346,"Glutamate_receptor_ionotropic,_kainate_1",,GRIK1,P39086
BE0000347,"Glycine_amidinotransferase,_mitochondrial",C1530825,GATM,P50440
BE0000348,NADH-ubiquinone_oxidoreductase_chain_6,C1537995,MT-ND6,P03923
BE0000349,Potassium-transporting_ATPase_alpha_chain_1,,ATP4A,P20648
BE0000350,"Acetyl-coenzyme_A_synthetase,_cytoplasmic",,ACSS2,Q9NR19
BE0000351,Amiloride-sensitive_amine_oxidase_[copper-containing],,AOC1,P19801
BE0000353,Acid-sensing_ion_channel_1,,ASIC1,P78348
BE0000354,Adenosine_receptor_A3,C4048326,ADORA3,P0DMS8
BE0000355,"Succinyl-CoA_ligase_[GDP-forming]_subunit_beta,_mitochondrial",,SUCLG2,Q96I99
BE0000356,Voltage-dependent_P/Q-type_calcium_channel_subunit_alpha-1A,,CACNA1A,O00555
