Drug,Protein ID,Protein Name
DB09092,P50213,"Isocitrate_dehydrogenase_[NAD]_subunit_alpha,_mitochondrial"
DB09130,P50213,"Isocitrate_dehydrogenase_[NAD]_subunit_alpha,_mitochondrial"
DB00381,Q9P0X4,Voltage-dependent_T-type_calcium_channel_subunit_alpha-1I
DB00568,Q9P0X4,Voltage-dependent_T-type_calcium_channel_subunit_alpha-1I
DB00617,Q9P0X4,Voltage-dependent_T-type_calcium_channel_subunit_alpha-1I
DB00661,Q9P0X4,Voltage-dependent_T-type_calcium_channel_subunit_alpha-1I
DB00909,Q9P0X4,Voltage-dependent_T-type_calcium_channel_subunit_alpha-1I
DB04841,Q9P0X4,Voltage-dependent_T-type_calcium_channel_subunit_alpha-1I
DB06152,Q9P0X4,Voltage-dependent_T-type_calcium_channel_subunit_alpha-1I
DB09061,Q9P0X4,Voltage-dependent_T-type_calcium_channel_subunit_alpha-1I
DB00201,P30542,Adenosine_receptor_A1
DB00277,P30542,Adenosine_receptor_A1
DB00555,P30542,Adenosine_receptor_A1
DB00640,P30542,Adenosine_receptor_A1
DB00651,P30542,Adenosine_receptor_A1
DB00806,P30542,Adenosine_receptor_A1
DB00824,P30542,Adenosine_receptor_A1
DB00996,P30542,Adenosine_receptor_A1
DB01223,P30542,Adenosine_receptor_A1
DB01303,P30542,Adenosine_receptor_A1
DB04932,P30542,Adenosine_receptor_A1
DB09061,P30542,Adenosine_receptor_A1
DB00619,P00519,Tyrosine-protein_kinase_ABL1
DB01254,P00519,Tyrosine-protein_kinase_ABL1
DB04868,P00519,Tyrosine-protein_kinase_ABL1
DB06616,P00519,Tyrosine-protein_kinase_ABL1
DB08896,P00519,Tyrosine-protein_kinase_ABL1
DB08901,P00519,Tyrosine-protein_kinase_ABL1
DB12010,P00519,Tyrosine-protein_kinase_ABL1
DB12267,P00519,Tyrosine-protein_kinase_ABL1
DB00043,P12319,High_affinity_immunoglobulin_epsilon_receptor_subunit_alpha
DB00895,P12319,High_affinity_immunoglobulin_epsilon_receptor_subunit_alpha
DB00055,P00451,Coagulation_factor_VIII
DB00100,P00451,Coagulation_factor_VIII
DB11300,P00451,Coagulation_factor_VIII
DB11571,P00451,Coagulation_factor_VIII
DB11572,P00451,Coagulation_factor_VIII
DB12872,P00451,Coagulation_factor_VIII
DB13133,P00451,Coagulation_factor_VIII
DB13151,P00451,Coagulation_factor_VIII
DB13152,P00451,Coagulation_factor_VIII
DB13933,P00451,Coagulation_factor_VIII
DB14700,P00451,Coagulation_factor_VIII
DB00159,P23219,Prostaglandin_G/H_synthase_1
DB00244,P23219,Prostaglandin_G/H_synthase_1
DB00316,P23219,Prostaglandin_G/H_synthase_1
DB00328,P23219,Prostaglandin_G/H_synthase_1
DB00350,P23219,Prostaglandin_G/H_synthase_1
DB00461,P23219,Prostaglandin_G/H_synthase_1
DB00465,P23219,Prostaglandin_G/H_synthase_1
DB00469,P23219,Prostaglandin_G/H_synthase_1
DB00500,P23219,Prostaglandin_G/H_synthase_1
DB00554,P23219,Prostaglandin_G/H_synthase_1
DB00573,P23219,Prostaglandin_G/H_synthase_1
DB00586,P23219,Prostaglandin_G/H_synthase_1
DB00605,P23219,Prostaglandin_G/H_synthase_1
DB00711,P23219,Prostaglandin_G/H_synthase_1
DB00712,P23219,Prostaglandin_G/H_synthase_1
DB00749,P23219,Prostaglandin_G/H_synthase_1
DB00784,P23219,Prostaglandin_G/H_synthase_1
DB00788,P23219,Prostaglandin_G/H_synthase_1
DB00795,P23219,Prostaglandin_G/H_synthase_1
DB00812,P23219,Prostaglandin_G/H_synthase_1
DB00814,P23219,Prostaglandin_G/H_synthase_1
DB00821,P23219,Prostaglandin_G/H_synthase_1
DB00861,P23219,Prostaglandin_G/H_synthase_1
DB00870,P23219,Prostaglandin_G/H_synthase_1
DB00936,P23219,Prostaglandin_G/H_synthase_1
DB00939,P23219,Prostaglandin_G/H_synthase_1
DB00945,P23219,Prostaglandin_G/H_synthase_1
DB00963,P23219,Prostaglandin_G/H_synthase_1
DB00991,P23219,Prostaglandin_G/H_synthase_1
DB01009,P23219,Prostaglandin_G/H_synthase_1
DB01014,P23219,Prostaglandin_G/H_synthase_1
DB01050,P23219,Prostaglandin_G/H_synthase_1
DB01283,P23219,Prostaglandin_G/H_synthase_1
DB01399,P23219,Prostaglandin_G/H_synthase_1
DB01401,P23219,Prostaglandin_G/H_synthase_1
DB01419,P23219,Prostaglandin_G/H_synthase_1
DB01435,P23219,Prostaglandin_G/H_synthase_1
DB01600,P23219,Prostaglandin_G/H_synthase_1
DB02266,P23219,Prostaglandin_G/H_synthase_1
DB02709,P23219,Prostaglandin_G/H_synthase_1
DB04817,P23219,Prostaglandin_G/H_synthase_1
DB06725,P23219,Prostaglandin_G/H_synthase_1
DB06736,P23219,Prostaglandin_G/H_synthase_1
DB06802,P23219,Prostaglandin_G/H_synthase_1
DB08814,P23219,Prostaglandin_G/H_synthase_1
DB09213,P23219,Prostaglandin_G/H_synthase_1
DB09214,P23219,Prostaglandin_G/H_synthase_1
DB09216,P23219,Prostaglandin_G/H_synthase_1
DB11071,P23219,Prostaglandin_G/H_synthase_1
DB11079,P23219,Prostaglandin_G/H_synthase_1
DB11201,P23219,Prostaglandin_G/H_synthase_1
DB11323,P23219,Prostaglandin_G/H_synthase_1
DB13346,P23219,Prostaglandin_G/H_synthase_1
DB13501,P23219,Prostaglandin_G/H_synthase_1
DB13783,P23219,Prostaglandin_G/H_synthase_1
DB00256,P0A7V8,30S_ribosomal_protein_S4
DB00595,P0A7V8,30S_ribosomal_protein_S4
DB00618,P0A7V8,30S_ribosomal_protein_S4
DB01017,P0A7V8,30S_ribosomal_protein_S4
DB12329,P0A7V8,30S_ribosomal_protein_S4
DB00246,P21728,D(1A)_dopamine_receptor
DB00248,P21728,D(1A)_dopamine_receptor
DB00334,P21728,D(1A)_dopamine_receptor
DB00353,P21728,D(1A)_dopamine_receptor
DB00363,P21728,D(1A)_dopamine_receptor
DB00372,P21728,D(1A)_dopamine_receptor
DB00397,P21728,D(1A)_dopamine_receptor
DB00408,P21728,D(1A)_dopamine_receptor
DB00420,P21728,D(1A)_dopamine_receptor
DB00477,P21728,D(1A)_dopamine_receptor
DB00502,P21728,D(1A)_dopamine_receptor
DB00508,P21728,D(1A)_dopamine_receptor
DB00543,P21728,D(1A)_dopamine_receptor
DB00589,P21728,D(1A)_dopamine_receptor
DB00623,P21728,D(1A)_dopamine_receptor
DB00679,P21728,D(1A)_dopamine_receptor
DB00714,P21728,D(1A)_dopamine_receptor
DB00734,P21728,D(1A)_dopamine_receptor
DB00777,P21728,D(1A)_dopamine_receptor
DB00800,P21728,D(1A)_dopamine_receptor
DB00805,P21728,D(1A)_dopamine_receptor
DB00850,P21728,D(1A)_dopamine_receptor
DB00875,P21728,D(1A)_dopamine_receptor
DB00988,P21728,D(1A)_dopamine_receptor
DB01063,P21728,D(1A)_dopamine_receptor
DB01186,P21728,D(1A)_dopamine_receptor
DB01200,P21728,D(1A)_dopamine_receptor
DB01224,P21728,D(1A)_dopamine_receptor
DB01235,P21728,D(1A)_dopamine_receptor
DB01238,P21728,D(1A)_dopamine_receptor
DB01239,P21728,D(1A)_dopamine_receptor
DB01267,P21728,D(1A)_dopamine_receptor
DB01403,P21728,D(1A)_dopamine_receptor
DB01608,P21728,D(1A)_dopamine_receptor
DB01621,P21728,D(1A)_dopamine_receptor
DB01623,P21728,D(1A)_dopamine_receptor
DB01624,P21728,D(1A)_dopamine_receptor
DB04946,P21728,D(1A)_dopamine_receptor
DB05271,P21728,D(1A)_dopamine_receptor
DB06216,P21728,D(1A)_dopamine_receptor
DB14185,P21728,D(1A)_dopamine_receptor
DB01099,P12461,Thymidylate_synthase
DB00139,Q9BZW2,Solute_carrier_family_13_member_1
DB00398,P35916,Vascular_endothelial_growth_factor_receptor_3
DB01268,P35916,Vascular_endothelial_growth_factor_receptor_3
DB06589,P35916,Vascular_endothelial_growth_factor_receptor_3
DB06626,P35916,Vascular_endothelial_growth_factor_receptor_3
DB08896,P35916,Vascular_endothelial_growth_factor_receptor_3
DB09078,P35916,Vascular_endothelial_growth_factor_receptor_3
DB09079,P35916,Vascular_endothelial_growth_factor_receptor_3
DB12010,P35916,Vascular_endothelial_growth_factor_receptor_3
DB00384,P51168,Amiloride-sensitive_sodium_channel_subunit_beta
DB00594,P51168,Amiloride-sensitive_sodium_channel_subunit_beta
DB00048,P02452,Collagen_alpha-1(I)_chain
DB11338,P02452,Collagen_alpha-1(I)_chain
DB12872,P02452,Collagen_alpha-1(I)_chain
DB13133,P02452,Collagen_alpha-1(I)_chain
DB00309,Q9H4B7,Tubulin_beta-1_chain
DB01229,Q9H4B7,Tubulin_beta-1_chain
DB01248,Q9H4B7,Tubulin_beta-1_chain
DB01394,Q9H4B7,Tubulin_beta-1_chain
DB06772,Q9H4B7,Tubulin_beta-1_chain
DB08871,Q9H4B7,Tubulin_beta-1_chain
DB00157,P56181,"NADH_dehydrogenase_[ubiquinone]_flavoprotein_3,_mitochondrial"
DB09270,P56181,"NADH_dehydrogenase_[ubiquinone]_flavoprotein_3,_mitochondrial"
DB00120,O95363,"Phenylalanine--tRNA_ligase,_mitochondrial"
DB00398,P17948,Vascular_endothelial_growth_factor_receptor_1
DB01268,P17948,Vascular_endothelial_growth_factor_receptor_1
DB06589,P17948,Vascular_endothelial_growth_factor_receptor_1
DB06626,P17948,Vascular_endothelial_growth_factor_receptor_1
DB08896,P17948,Vascular_endothelial_growth_factor_receptor_1
DB09078,P17948,Vascular_endothelial_growth_factor_receptor_1
DB09079,P17948,Vascular_endothelial_growth_factor_receptor_1
DB10770,P17948,Vascular_endothelial_growth_factor_receptor_1
DB12010,P17948,Vascular_endothelial_growth_factor_receptor_1
DB00138,Q9UPY5,Cystine/glutamate_transporter
DB00142,Q9UPY5,Cystine/glutamate_transporter
DB00740,Q9UPY5,Cystine/glutamate_transporter
DB00795,Q9UPY5,Cystine/glutamate_transporter
DB06151,Q9UPY5,Cystine/glutamate_transporter
DB11590,Q9UPY5,Cystine/glutamate_transporter
DB00157,Q9UBM7,7-dehydrocholesterol_reductase
DB00162,Q9BTZ2,Dehydrogenase/reductase_SDR_family_member_4
DB00030,P06213,Insulin_receptor
DB00046,P06213,Insulin_receptor
DB00047,P06213,Insulin_receptor
DB00071,P06213,Insulin_receptor
DB01277,P06213,Insulin_receptor
DB01306,P06213,Insulin_receptor
DB01307,P06213,Insulin_receptor
DB01309,P06213,Insulin_receptor
DB09129,P06213,Insulin_receptor
DB09564,P06213,Insulin_receptor
DB12010,P06213,Insulin_receptor
DB12267,P06213,Insulin_receptor
DB14751,P06213,Insulin_receptor
DB00330,P9WNL9,Probable_arabinosyltransferase_A
DB00138,O60931,Cystinosin
DB00398,P04049,RAF_proto-oncogene_serine/threonine-protein_kinase
DB08862,P04049,RAF_proto-oncogene_serine/threonine-protein_kinase
DB08896,P04049,RAF_proto-oncogene_serine/threonine-protein_kinase
DB08912,P04049,RAF_proto-oncogene_serine/threonine-protein_kinase
DB12010,P04049,RAF_proto-oncogene_serine/threonine-protein_kinase
DB00157,O00217,"NADH_dehydrogenase_[ubiquinone]_iron-sulfur_protein_8,_mitochondrial"
DB00120,Q9Y285,Phenylalanine--tRNA_ligase_alpha_subunit
DB09130,P29401,Transketolase
DB00166,Q9Y234,"Lipoyltransferase_1,_mitochondrial"
DB00055,P12259,Coagulation_factor_V
DB05777,P12259,Coagulation_factor_V
DB11300,P12259,Coagulation_factor_V
DB11571,P12259,Coagulation_factor_V
DB11572,P12259,Coagulation_factor_V
DB13149,P12259,Coagulation_factor_V
DB13151,P12259,Coagulation_factor_V
DB00165,O00764,Pyridoxal_kinase
DB00559,P24530,Endothelin_B_receptor
DB06268,P24530,Endothelin_B_receptor
DB06403,P24530,Endothelin_B_receptor
DB08932,P24530,Endothelin_B_receptor
DB00157,Q15738,"Sterol-4-alpha-carboxylate_3-dehydrogenase,_decarboxylating"
DB00185,P20309,Muscarinic_acetylcholine_receptor_M3
DB00193,P20309,Muscarinic_acetylcholine_receptor_M3
DB00202,P20309,Muscarinic_acetylcholine_receptor_M3
DB00246,P20309,Muscarinic_acetylcholine_receptor_M3
DB00280,P20309,Muscarinic_acetylcholine_receptor_M3
DB00332,P20309,Muscarinic_acetylcholine_receptor_M3
DB00334,P20309,Muscarinic_acetylcholine_receptor_M3
DB00340,P20309,Muscarinic_acetylcholine_receptor_M3
DB00342,P20309,Muscarinic_acetylcholine_receptor_M3
DB00363,P20309,Muscarinic_acetylcholine_receptor_M3
DB00376,P20309,Muscarinic_acetylcholine_receptor_M3
DB00383,P20309,Muscarinic_acetylcholine_receptor_M3
DB00387,P20309,Muscarinic_acetylcholine_receptor_M3
DB00408,P20309,Muscarinic_acetylcholine_receptor_M3
DB00411,P20309,Muscarinic_acetylcholine_receptor_M3
DB00420,P20309,Muscarinic_acetylcholine_receptor_M3
DB00424,P20309,Muscarinic_acetylcholine_receptor_M3
DB00434,P20309,Muscarinic_acetylcholine_receptor_M3
DB00458,P20309,Muscarinic_acetylcholine_receptor_M3
DB00462,P20309,Muscarinic_acetylcholine_receptor_M3
DB00477,P20309,Muscarinic_acetylcholine_receptor_M3
DB00496,P20309,Muscarinic_acetylcholine_receptor_M3
DB00517,P20309,Muscarinic_acetylcholine_receptor_M3
DB00540,P20309,Muscarinic_acetylcholine_receptor_M3
DB00572,P20309,Muscarinic_acetylcholine_receptor_M3
DB00599,P20309,Muscarinic_acetylcholine_receptor_M3
DB00622,P20309,Muscarinic_acetylcholine_receptor_M3
DB00715,P20309,Muscarinic_acetylcholine_receptor_M3
DB00725,P20309,Muscarinic_acetylcholine_receptor_M3
DB00747,P20309,Muscarinic_acetylcholine_receptor_M3
DB00777,P20309,Muscarinic_acetylcholine_receptor_M3
DB00785,P20309,Muscarinic_acetylcholine_receptor_M3
DB00809,P20309,Muscarinic_acetylcholine_receptor_M3
DB00835,P20309,Muscarinic_acetylcholine_receptor_M3
DB00934,P20309,Muscarinic_acetylcholine_receptor_M3
DB00986,P20309,Muscarinic_acetylcholine_receptor_M3
DB01019,P20309,Muscarinic_acetylcholine_receptor_M3
DB01036,P20309,Muscarinic_acetylcholine_receptor_M3
DB01062,P20309,Muscarinic_acetylcholine_receptor_M3
DB01069,P20309,Muscarinic_acetylcholine_receptor_M3
DB01085,P20309,Muscarinic_acetylcholine_receptor_M3
DB01142,P20309,Muscarinic_acetylcholine_receptor_M3
DB01151,P20309,Muscarinic_acetylcholine_receptor_M3
DB01224,P20309,Muscarinic_acetylcholine_receptor_M3
DB01226,P20309,Muscarinic_acetylcholine_receptor_M3
DB01231,P20309,Muscarinic_acetylcholine_receptor_M3
DB01238,P20309,Muscarinic_acetylcholine_receptor_M3
DB01239,P20309,Muscarinic_acetylcholine_receptor_M3
DB01337,P20309,Muscarinic_acetylcholine_receptor_M3
DB01338,P20309,Muscarinic_acetylcholine_receptor_M3
DB01403,P20309,Muscarinic_acetylcholine_receptor_M3
DB01409,P20309,Muscarinic_acetylcholine_receptor_M3
DB01591,P20309,Muscarinic_acetylcholine_receptor_M3
DB01625,P20309,Muscarinic_acetylcholine_receptor_M3
DB03128,P20309,Muscarinic_acetylcholine_receptor_M3
DB04843,P20309,Muscarinic_acetylcholine_receptor_M3
DB06153,P20309,Muscarinic_acetylcholine_receptor_M3
DB06702,P20309,Muscarinic_acetylcholine_receptor_M3
DB06709,P20309,Muscarinic_acetylcholine_receptor_M3
DB06787,P20309,Muscarinic_acetylcholine_receptor_M3
DB08897,P20309,Muscarinic_acetylcholine_receptor_M3
DB09076,P20309,Muscarinic_acetylcholine_receptor_M3
DB09089,P20309,Muscarinic_acetylcholine_receptor_M3
DB09167,P20309,Muscarinic_acetylcholine_receptor_M3
DB09300,P20309,Muscarinic_acetylcholine_receptor_M3
DB11181,P20309,Muscarinic_acetylcholine_receptor_M3
DB11235,P20309,Muscarinic_acetylcholine_receptor_M3
DB12278,P20309,Muscarinic_acetylcholine_receptor_M3
DB13720,P20309,Muscarinic_acetylcholine_receptor_M3
DB14185,P20309,Muscarinic_acetylcholine_receptor_M3
DB00119,P30613,Pyruvate_kinase_PKLR
DB00761,Q9H2X9,Solute_carrier_family_12_member_5
DB00887,Q9H2X9,Solute_carrier_family_12_member_5
DB00001,P00734,Prothrombin
DB00006,P00734,Prothrombin
DB00055,P00734,Prothrombin
DB00100,P00734,Prothrombin
DB00170,P00734,Prothrombin
DB00278,P00734,Prothrombin
DB01123,P00734,Prothrombin
DB01593,P00734,Prothrombin
DB04898,P00734,Prothrombin
DB05777,P00734,Prothrombin
DB06404,P00734,Prothrombin
DB06695,P00734,Prothrombin
DB09109,P00734,Prothrombin
DB09130,P00734,Prothrombin
DB09228,P00734,Prothrombin
DB09332,P00734,Prothrombin
DB11166,P00734,Prothrombin
DB13151,P00734,Prothrombin
DB13152,P00734,Prothrombin
DB14487,P00734,Prothrombin
DB14533,P00734,Prothrombin
DB14738,P00734,Prothrombin
DB00895,P30273,High_affinity_immunoglobulin_epsilon_receptor_subunit_gamma
DB00855,P13716,Delta-aminolevulinic_acid_dehydratase
DB00157,P14060,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1
DB00741,P14060,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1
DB01108,P14060,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1
DB14539,P14060,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1
DB14540,P14060,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1
DB14541,P14060,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1
DB14542,P14060,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1
DB14543,P14060,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1
DB14544,P14060,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1
DB00123,O43246,Cationic_amino_acid_transporter_4
DB00125,O43246,Cationic_amino_acid_transporter_4
DB00129,O43246,Cationic_amino_acid_transporter_4
DB00233,P9WNC7,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine_pyrophosphokinase
DB00145,P48167,Glycine_receptor_subunit_beta
DB00431,P48167,Glycine_receptor_subunit_beta
DB00336,P61889,Malate_dehydrogenase
DB00558,P06818,Neuraminidase
DB06614,P06818,Neuraminidase
DB00143,P14780,Matrix_metalloproteinase-9
DB01017,P14780,Matrix_metalloproteinase-9
DB01197,P14780,Matrix_metalloproteinase-9
DB01296,P14780,Matrix_metalloproteinase-9
DB01593,P14780,Matrix_metalloproteinase-9
DB14487,P14780,Matrix_metalloproteinase-9
DB14533,P14780,Matrix_metalloproteinase-9
DB00157,P26439,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_2
DB01108,P26439,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_2
DB00126,P13674,Prolyl_4-hydroxylase_subunit_alpha-1
DB00139,P13674,Prolyl_4-hydroxylase_subunit_alpha-1
DB00172,P13674,Prolyl_4-hydroxylase_subunit_alpha-1
DB01275,P13674,Prolyl_4-hydroxylase_subunit_alpha-1
DB00470,P21554,Cannabinoid_receptor_1
DB00486,P21554,Cannabinoid_receptor_1
DB06155,P21554,Cannabinoid_receptor_1
DB09061,P21554,Cannabinoid_receptor_1
DB00177,P30556,Type-1_angiotensin_II_receptor
DB00275,P30556,Type-1_angiotensin_II_receptor
DB00678,P30556,Type-1_angiotensin_II_receptor
DB00796,P30556,Type-1_angiotensin_II_receptor
DB00876,P30556,Type-1_angiotensin_II_receptor
DB00966,P30556,Type-1_angiotensin_II_receptor
DB01029,P30556,Type-1_angiotensin_II_receptor
DB08822,P30556,Type-1_angiotensin_II_receptor
DB11842,P30556,Type-1_angiotensin_II_receptor
DB00133,P49591,"Serine--tRNA_ligase,_cytoplasmic"
DB00297,P34995,Prostaglandin_E2_receptor_EP1_subtype
DB00429,P34995,Prostaglandin_E2_receptor_EP1_subtype
DB00770,P34995,Prostaglandin_E2_receptor_EP1_subtype
DB00905,P34995,Prostaglandin_E2_receptor_EP1_subtype
DB00917,P34995,Prostaglandin_E2_receptor_EP1_subtype
DB01088,P34995,Prostaglandin_E2_receptor_EP1_subtype
DB00157,P10515,"Dihydrolipoyllysine-residue_acetyltransferase_component_of_pyruvate_dehydrogenase_complex,_mitochondrial"
DB00073,P11836,B-lymphocyte_antigen_CD20
DB00078,P11836,B-lymphocyte_antigen_CD20
DB00081,P11836,B-lymphocyte_antigen_CD20
DB06650,P11836,B-lymphocyte_antigen_CD20
DB08935,P11836,B-lymphocyte_antigen_CD20
DB09336,P11836,B-lymphocyte_antigen_CD20
DB11988,P11836,B-lymphocyte_antigen_CD20
DB00155,P29475,"Nitric_oxide_synthase,_brain"
DB01221,P29475,"Nitric_oxide_synthase,_brain"
DB03147,P29475,"Nitric_oxide_synthase,_brain"
DB03247,P29475,"Nitric_oxide_synthase,_brain"
DB09241,P29475,"Nitric_oxide_synthase,_brain"
DB00157,P07195,L-lactate_dehydrogenase_B_chain
DB09118,P07195,L-lactate_dehydrogenase_B_chain
DB00795,P24752,"Acetyl-CoA_acetyltransferase,_mitochondrial"
DB13893,O15496,Group_10_secretory_phospholipase_A2
DB13894,O15496,Group_10_secretory_phospholipase_A2
DB00132,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB00159,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB00313,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB00328,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB00412,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB00573,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB00636,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB01039,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB01050,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB01132,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB01241,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB01393,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB01708,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB02266,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB02709,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB03017,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB03193,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB03756,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB03796,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB04224,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB09064,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB09213,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB09422,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB11133,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB11605,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB13873,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB13961,Q07869,Peroxisome_proliferator-activated_receptor_alpha
DB00121,Q9HCC0,"Methylcrotonoyl-CoA_carboxylase_beta_chain,_mitochondrial"
DB00142,Q9UDR5,"Alpha-aminoadipic_semialdehyde_synthase,_mitochondrial"
DB00157,Q9UDR5,"Alpha-aminoadipic_semialdehyde_synthase,_mitochondrial"
DB00755,P51843,Nuclear_receptor_subfamily_0_group_B_member_1
DB01234,P51843,Nuclear_receptor_subfamily_0_group_B_member_1
DB00052,P10912,Growth_hormone_receptor
DB00082,P10912,Growth_hormone_receptor
DB09098,P10912,Growth_hormone_receptor
DB00163,Q9UDX3,SEC14-like_protein_4
DB14001,Q9UDX3,SEC14-like_protein_4
DB14002,Q9UDX3,SEC14-like_protein_4
DB00993,P00492,Hypoxanthine-guanine_phosphoribosyltransferase
DB01033,P00492,Hypoxanthine-guanine_phosphoribosyltransferase
DB01632,P00492,Hypoxanthine-guanine_phosphoribosyltransferase
DB00210,P28702,Retinoic_acid_receptor_RXR-beta
DB00307,P28702,Retinoic_acid_receptor_RXR-beta
DB00412,P28702,Retinoic_acid_receptor_RXR-beta
DB00459,P28702,Retinoic_acid_receptor_RXR-beta
DB00523,P28702,Retinoic_acid_receptor_RXR-beta
DB00755,P28702,Retinoic_acid_receptor_RXR-beta
DB00799,P28702,Retinoic_acid_receptor_RXR-beta
DB01393,P28702,Retinoic_acid_receptor_RXR-beta
DB03756,P28702,Retinoic_acid_receptor_RXR-beta
DB00114,Q9Y600,Cysteine_sulfinic_acid_decarboxylase
DB00151,Q9Y600,Cysteine_sulfinic_acid_decarboxylase
DB12095,Q8IWU9,Tryptophan_5-hydroxylase_2
DB00157,O95299,"NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_10,_mitochondrial"
DB00148,P12277,Creatine_kinase_B-type
DB00087,P31358,CAMPATH-1_antigen
DB00604,Q13639,5-hydroxytryptamine_receptor_4
DB00904,Q13639,5-hydroxytryptamine_receptor_4
DB01079,Q13639,5-hydroxytryptamine_receptor_4
DB01233,Q13639,5-hydroxytryptamine_receptor_4
DB06480,Q13639,5-hydroxytryptamine_receptor_4
DB00893,P02792,Ferritin_light_chain
DB09517,P02792,Ferritin_light_chain
DB13995,P02792,Ferritin_light_chain
DB00117,P42357,Histidine_ammonia-lyase
DB00126,Q02809,"Procollagen-lysine,2-oxoglutarate_5-dioxygenase_1"
DB00139,Q02809,"Procollagen-lysine,2-oxoglutarate_5-dioxygenase_1"
DB00119,P14618,Pyruvate_kinase_PKM
DB09130,P14618,Pyruvate_kinase_PKM
DB00157,O43920,NADH_dehydrogenase_[ubiquinone]_iron-sulfur_protein_5
