,DrugBankID,DrugName,DBpediaURL
32,DB00033,Interferon_gamma-1b,http://dbpedia.org/resource/Interferon-gamma
33,DB00034,"Interferon_Alfa-2a,_Recombinant",http://dbpedia.org/resource/Interferon_alfa
34,DB00035,Desmopressin,http://dbpedia.org/resource/Desmopressin
35,DB00036,Coagulation_factor_VIIa_Recombinant_Human,http://dbpedia.org/resource/Aafact
36,DB00038,Oprelvekin,http://dbpedia.org/resource/Oprelvekin
37,DB00039,Palifermin,http://dbpedia.org/resource/Palifermin
38,DB00040,Glucagon_recombinant,http://dbpedia.org/resource/Recombinant
39,DB00041,Aldesleukin,http://dbpedia.org/resource/Recombinant
40,DB00042,Botulinum_Toxin_Type_B,http://dbpedia.org/resource/Botulinum_toxin
41,DB00043,Omalizumab,http://dbpedia.org/resource/Omalizumab
42,DB00044,Lutropin_alfa,http://dbpedia.org/resource/Luteinizing_hormone
43,DB00045,Lyme_disease_vaccine_(recombinant_OspA),http://dbpedia.org/resource/Lyme_disease
44,DB00046,Insulin_Lispro,http://dbpedia.org/resource/Insulin_lispro
45,DB00047,Insulin_Glargine,http://dbpedia.org/resource/Insulin_glargine
46,DB00048,Collagenase_clostridium_histolyticum,http://dbpedia.org/resource/Collagenase_clostridium_histolyticum
47,DB00049,Rasburicase,http://dbpedia.org/resource/Rasburicase
48,DB00050,Cetrorelix,http://dbpedia.org/resource/Cetrorelix_acetate
49,DB00051,Adalimumab,http://dbpedia.org/resource/Adalimumab
50,DB00052,Somatotropin,http://dbpedia.org/resource/Growth_hormone
51,DB00053,Imiglucerase,http://dbpedia.org/resource/Imiglucerase
52,DB00054,Abciximab,http://dbpedia.org/resource/Abciximab
53,DB00055,Drotrecogin_alfa,http://dbpedia.org/resource/Drotrecogin_alfa
54,DB00056,Gemtuzumab_ozogamicin,http://dbpedia.org/resource/Gemtuzumab_ozogamicin
55,DB00057,Indium_In-111_satumomab_pendetide,http://dbpedia.org/resource/Indium_(111In)_satumomab_pendetide
56,DB00058,Alpha-1-proteinase_inhibitor,http://dbpedia.org/resource/Protease_inhibitor
57,DB00059,Pegaspargase,http://dbpedia.org/resource/Pegaspargase
58,DB00060,Interferon_beta-1a,http://dbpedia.org/resource/Interferon_beta_1a
59,DB00061,Pegademase_bovine,http://dbpedia.org/resource/Bovine_somatotropin
60,DB00062,Human_Serum_Albumin,http://dbpedia.org/resource/Human_serum_albumin
61,DB00063,Eptifibatide,http://dbpedia.org/resource/Eptifibatide
62,DB00065,Infliximab,http://dbpedia.org/resource/Infliximab
63,DB00066,Follitropin,http://dbpedia.org/resource/Follicle-stimulating_hormone
64,DB00067,Vasopressin,http://dbpedia.org/resource/Vasopressin
65,DB00068,Interferon_beta-1b,http://dbpedia.org/resource/Interferon_beta_1b
66,DB00069,Interferon_alfacon-1,http://dbpedia.org/resource/Interferon_alfacon-1
67,DB00070,Hyaluronidase,http://dbpedia.org/resource/Hyaluronidase
68,DB00071,Insulin_Pork,http://dbpedia.org/resource/Insulin_port
69,DB00072,Trastuzumab,http://dbpedia.org/resource/Trastuzumab
70,DB00073,Rituximab,http://dbpedia.org/resource/Rituximab
71,DB00074,Basiliximab,http://dbpedia.org/resource/Basiliximab
72,DB00075,Muromonab,http://dbpedia.org/resource/Muromonab-CD3
73,DB00076,Digoxin_Immune_Fab_(Ovine),http://dbpedia.org/resource/Digoxin_immune_fab
74,DB00078,Ibritumomab_tiuxetan,http://dbpedia.org/resource/Ibritumomab_tiuxetan
75,DB00080,Daptomycin,http://dbpedia.org/resource/Daptomycin
76,DB00081,Tositumomab,http://dbpedia.org/resource/Tositumomab
77,DB00082,Pegvisomant,http://dbpedia.org/resource/Pegvisomant
78,DB00083,Botulinum_Toxin_Type_A,http://dbpedia.org/resource/Botulinum_toxin
79,DB00085,Pancrelipase,http://dbpedia.org/resource/Pancrelipase
80,DB00086,Streptokinase,http://dbpedia.org/resource/Streptokinase
81,DB00087,Alemtuzumab,http://dbpedia.org/resource/Alemtuzumab
82,DB00088,Alglucerase,http://dbpedia.org/resource/Alglucerase
83,DB00089,Capromab_pendetide,http://dbpedia.org/resource/Indium_(111In)_capromab_pendetide
84,DB00090,Laronidase,http://dbpedia.org/resource/Indium_(111In)_capromab_pendetide
85,DB00091,Cyclosporine,http://dbpedia.org/resource/Ciclosporin
86,DB00092,Alefacept,http://dbpedia.org/resource/Alefacept
87,DB00093,Felypressin,http://dbpedia.org/resource/Felypressin
88,DB00094,Urofollitropin,http://dbpedia.org/resource/Urofollitropin
89,DB00095,Efalizumab,http://dbpedia.org/resource/Efalizumab
90,DB00097,Choriogonadotropin_alfa,http://dbpedia.org/resource/Human_chorionic_gonadotropin
91,DB00098,Antithymocyte_immunoglobulin_(rabbit),http://dbpedia.org/resource/Antibody
92,DB00099,Filgrastim,http://dbpedia.org/resource/Filgrastim
93,DB00100,Coagulation_Factor_IX_(Recombinant),http://dbpedia.org/resource/Factor_IX
94,DB00102,Becaplermin,http://dbpedia.org/resource/Becaplermin
95,DB00103,Agalsidase_beta,http://dbpedia.org/resource/Agalmatidae
96,DB00104,Octreotide,http://dbpedia.org/resource/Octreotide
97,DB00105,"Interferon_Alfa-2b,_Recombinant",http://dbpedia.org/resource/Interferon_alfa-2b
98,DB00106,Abarelix,http://dbpedia.org/resource/Abarelix
99,DB00107,Oxytocin,http://dbpedia.org/resource/Oxytocin
100,DB00108,Natalizumab,http://dbpedia.org/resource/Natalizumab
101,DB00109,Enfuvirtide,http://dbpedia.org/resource/Enfuvirtide
102,DB00110,Palivizumab,http://dbpedia.org/resource/Palivizumab
103,DB00111,Daclizumab,http://dbpedia.org/resource/Daclizumab
104,DB00112,Bevacizumab,http://dbpedia.org/resource/Bevacizumab
105,DB00113,Technetium_Tc-99m_arcitumomab,http://dbpedia.org/resource/Technetium_(99mTc)_tetrofosmin
106,DB00114,Pyridoxal_Phosphate,http://dbpedia.org/resource/Pyridoxal_phosphate
107,DB00115,Cyanocobalamin,http://dbpedia.org/resource/Cyanocobalamin
108,DB00116,Tetrahydrofolic_acid,http://dbpedia.org/resource/Tetrahydrofolic_acid
109,DB00117,Histidine,http://dbpedia.org/resource/Histidine
110,DB00118,Ademetionine,http://dbpedia.org/resource/Histidine
111,DB00119,Pyruvic_acid,http://dbpedia.org/resource/Pyruvic_acid
112,DB00120,L-Phenylalanine,http://dbpedia.org/resource/Phenylalanine
113,DB00121,Biotin,http://dbpedia.org/resource/Biotin
114,DB00122,Choline,http://dbpedia.org/resource/Choline
115,DB00123,L-Lysine,http://dbpedia.org/resource/Lysine
116,DB00125,L-Arginine,http://dbpedia.org/resource/Arginine
117,DB00126,Vitamin_C,http://dbpedia.org/resource/Vitamin_C
118,DB00127,Spermine,http://dbpedia.org/resource/Spermine
119,DB00128,L-Aspartic_Acid,http://dbpedia.org/resource/Aspartic_acid
120,DB00129,Ornithine,http://dbpedia.org/resource/Ornithine
121,DB00130,L-Glutamine,http://dbpedia.org/resource/Glutamine
122,DB00131,Adenosine_monophosphate,http://dbpedia.org/resource/Adenosine_monophosphate
123,DB00132,Alpha-Linolenic_Acid,http://dbpedia.org/resource/Alpha-Linolenic_acid
124,DB00133,Serine,http://dbpedia.org/resource/Serine
125,DB00134,Methionine,http://dbpedia.org/resource/Methionine
126,DB00135,L-Tyrosine,http://dbpedia.org/resource/Tyrosine
127,DB00136,Calcitriol,http://dbpedia.org/resource/Calcitriol
128,DB00137,Lutein,http://dbpedia.org/resource/Lutein
129,DB00138,Cystine,http://dbpedia.org/resource/Cystine
130,DB00139,Succinic_acid,http://dbpedia.org/resource/Succinic_acid
131,DB00140,Riboflavin,http://dbpedia.org/resource/Riboflavin
132,DB00141,N-Acetylglucosamine,http://dbpedia.org/resource/N-Acetylglucosamine
133,DB00142,Glutamic_Acid,http://dbpedia.org/resource/Glutamic_acid
134,DB00143,Glutathione,http://dbpedia.org/resource/Glutathione
135,DB00144,Phosphatidyl_serine,http://dbpedia.org/resource/Phosphatidylserine
136,DB00145,Glycine,http://dbpedia.org/resource/Glycine
137,DB00146,Calcidiol,http://dbpedia.org/resource/Calcifediol
138,DB00147,Pyridoxal,http://dbpedia.org/resource/Pyridoxal
139,DB00148,Creatine,http://dbpedia.org/resource/Creatine
140,DB00149,L-Leucine,http://dbpedia.org/resource/Leucine
141,DB00150,L-Tryptophan,http://dbpedia.org/resource/Tryptophan
142,DB00151,L-Cysteine,http://dbpedia.org/resource/Cysteine
143,DB00152,Thiamine,http://dbpedia.org/resource/Thiamine
144,DB00153,Ergocalciferol,http://dbpedia.org/resource/Ergocalciferol
145,DB00154,Dihomo-gamma-linolenic_acid,http://dbpedia.org/resource/Dihomo-γ-linolenic_acid
146,DB00155,L-Citrulline,http://dbpedia.org/resource/Citrulline
147,DB00156,L-Threonine,http://dbpedia.org/resource/Threonine
148,DB00157,NADH,http://dbpedia.org/resource/NADH-Q
149,DB00158,Folic_Acid,http://dbpedia.org/resource/Folic_acid
150,DB00159,Icosapent,http://dbpedia.org/resource/Eicosapentaenoic_acid
151,DB00160,L-Alanine,http://dbpedia.org/resource/Alanine
152,DB00161,L-Valine,http://dbpedia.org/resource/Valine
153,DB00162,Vitamin_A,http://dbpedia.org/resource/Vitamin_A
154,DB00163,Vitamin_E,http://dbpedia.org/resource/Vitamin_E
155,DB00165,Pyridoxine,http://dbpedia.org/resource/Pyridoxine
156,DB00166,Lipoic_Acid,http://dbpedia.org/resource/Lipoic_acid
157,DB00167,L-Isoleucine,http://dbpedia.org/resource/Isoleucine
158,DB00168,Aspartame,http://dbpedia.org/resource/Aspartame
159,DB00169,Cholecalciferol,http://dbpedia.org/resource/Cholecalciferol
160,DB00170,Menadione,http://dbpedia.org/resource/Menadione
161,DB00171,ATP,http://dbpedia.org/resource/ATP
162,DB00172,L-Proline,http://dbpedia.org/resource/Proline
163,DB00173,Adenine,http://dbpedia.org/resource/Adenine
164,DB00174,L-Asparagine,http://dbpedia.org/resource/Asparagine
165,DB00175,Pravastatin,http://dbpedia.org/resource/Pravastatin
166,DB00176,Fluvoxamine,http://dbpedia.org/resource/Fluvoxamine
167,DB00177,Valsartan,http://dbpedia.org/resource/Valsartan
168,DB00178,Ramipril,http://dbpedia.org/resource/Ramipril
169,DB00179,Masoprocol,http://dbpedia.org/resource/Masoprocol
170,DB00180,Flunisolide,http://dbpedia.org/resource/Flunisolide
171,DB00181,Baclofen,http://dbpedia.org/resource/Baclofen
172,DB00182,Amphetamine,http://dbpedia.org/resource/Amphetamine
173,DB00183,Pentagastrin,http://dbpedia.org/resource/Pentagastrin
174,DB00184,Nicotine,http://dbpedia.org/resource/Nicotine
175,DB00185,Cevimeline,http://dbpedia.org/resource/Cevimeline
176,DB00186,Lorazepam,http://dbpedia.org/resource/Lorazepam
177,DB00187,Esmolol,http://dbpedia.org/resource/Esmolol
178,DB00188,Bortezomib,http://dbpedia.org/resource/Bortezomib
179,DB00189,Ethchlorvynol,http://dbpedia.org/resource/Ethchlorvynol
180,DB00190,Carbidopa,http://dbpedia.org/resource/Carbidopa
181,DB00191,Phentermine,http://dbpedia.org/resource/Phentermine
182,DB00192,Indecainide,http://dbpedia.org/resource/Indecainide
183,DB00193,Tramadol,http://dbpedia.org/resource/Tramadol
184,DB00194,Vidarabine,http://dbpedia.org/resource/Vidarabine
185,DB00195,Betaxolol,http://dbpedia.org/resource/Betaxolol
186,DB00196,Fluconazole,http://dbpedia.org/resource/Fluconazole
187,DB00197,Troglitazone,http://dbpedia.org/resource/Troglitazone
188,DB00198,Oseltamivir,http://dbpedia.org/resource/Oseltamivir
189,DB00199,Erythromycin,http://dbpedia.org/resource/Erythromycin
190,DB00200,Hydroxocobalamin,http://dbpedia.org/resource/Hydroxocobalamin
191,DB00201,Caffeine,http://dbpedia.org/resource/Caffeine
192,DB00202,Succinylcholine,http://dbpedia.org/resource/Suxamethonium_chloride
193,DB00203,Sildenafil,http://dbpedia.org/resource/Sildenafil
194,DB00204,Dofetilide,http://dbpedia.org/resource/Dofetilide
195,DB00205,Pyrimethamine,http://dbpedia.org/resource/Pyrimethamine
196,DB00206,Reserpine,http://dbpedia.org/resource/Reserpine
197,DB00207,Azithromycin,http://dbpedia.org/resource/Azithromycin
198,DB00208,Ticlopidine,http://dbpedia.org/resource/Ticlopidine
199,DB00209,Trospium,http://dbpedia.org/resource/Prosopium
200,DB00210,Adapalene,http://dbpedia.org/resource/Adapalene
201,DB00211,Midodrine,http://dbpedia.org/resource/Midodrine
202,DB00212,Remikiren,http://dbpedia.org/resource/Remikiren
203,DB00213,Pantoprazole,http://dbpedia.org/resource/Pantoprazole
204,DB00214,Torasemide,http://dbpedia.org/resource/Torasemide
205,DB00215,Citalopram,http://dbpedia.org/resource/Citalopram
206,DB00216,Eletriptan,http://dbpedia.org/resource/Eletriptan
207,DB00217,Bethanidine,http://dbpedia.org/resource/Bethanidine
208,DB00218,Moxifloxacin,http://dbpedia.org/resource/Moxifloxacin
209,DB00219,Oxyphenonium,http://dbpedia.org/resource/Oxyphenonium_bromide
210,DB00220,Nelfinavir,http://dbpedia.org/resource/Nelfinavir
211,DB00221,Isoetarine,http://dbpedia.org/resource/Isoetarine
212,DB00222,Glimepiride,http://dbpedia.org/resource/Glimepiride
213,DB00223,Diflorasone,http://dbpedia.org/resource/Diflorasone
214,DB00224,Indinavir,http://dbpedia.org/resource/Indinavir
215,DB00225,Gadodiamide,http://dbpedia.org/resource/Gadodiamide
216,DB00226,Guanadrel,http://dbpedia.org/resource/Guanadrel
217,DB00227,Lovastatin,http://dbpedia.org/resource/Lovastatin
218,DB00228,Enflurane,http://dbpedia.org/resource/Enflurane
219,DB00229,Cefotiam,http://dbpedia.org/resource/Cefotiam
220,DB00230,Pregabalin,http://dbpedia.org/resource/Pregabalin
221,DB00231,Temazepam,http://dbpedia.org/resource/Temazepam
222,DB00232,Methyclothiazide,http://dbpedia.org/resource/Methyclothiazide
223,DB00233,Aminosalicylic_Acid,http://dbpedia.org/resource/Aminosalicylic_acid
224,DB00234,Reboxetine,http://dbpedia.org/resource/Reboxetine
225,DB00235,Milrinone,http://dbpedia.org/resource/Milrinone
226,DB00236,Pipobroman,http://dbpedia.org/resource/Pipobroman
227,DB00237,Butabarbital,http://dbpedia.org/resource/Butabarbital
228,DB00238,Nevirapine,http://dbpedia.org/resource/Nevirapine
229,DB00239,Oxiconazole,http://dbpedia.org/resource/Oxiconazole
230,DB00240,Alclometasone,http://dbpedia.org/resource/Alclometasone
231,DB00241,Butalbital,http://dbpedia.org/resource/Butalbital
232,DB00242,Cladribine,http://dbpedia.org/resource/Cladribine
233,DB00243,Ranolazine,http://dbpedia.org/resource/Ranolazine
234,DB00244,Mesalazine,http://dbpedia.org/resource/Mesalazine
235,DB00245,Benzatropine,http://dbpedia.org/resource/Benzatropine
236,DB00246,Ziprasidone,http://dbpedia.org/resource/Ziprasidone
237,DB00247,Methysergide,http://dbpedia.org/resource/Methysergide
238,DB00248,Cabergoline,http://dbpedia.org/resource/Cabergoline
239,DB00249,Idoxuridine,http://dbpedia.org/resource/Idoxuridine
240,DB00250,Dapsone,http://dbpedia.org/resource/Dapsone
241,DB00251,Terconazole,http://dbpedia.org/resource/Terconazole
242,DB00252,Phenytoin,http://dbpedia.org/resource/Phenytoin
243,DB00253,Medrysone,http://dbpedia.org/resource/Medrysone
244,DB00254,Doxycycline,http://dbpedia.org/resource/Doxycycline
245,DB00255,Diethylstilbestrol,http://dbpedia.org/resource/Diethylstilbestrol
246,DB00256,Lymecycline,http://dbpedia.org/resource/Lymecycline
247,DB00257,Clotrimazole,http://dbpedia.org/resource/Clotrimazole
248,DB00258,Calcium_Acetate,http://dbpedia.org/resource/Calcium_acetate
249,DB00259,Sulfanilamide,http://dbpedia.org/resource/Sulfanilamide
250,DB00260,Cycloserine,http://dbpedia.org/resource/Cycloserine
251,DB00261,Anagrelide,http://dbpedia.org/resource/Anagrelide
252,DB00262,Carmustine,http://dbpedia.org/resource/Carmustine
253,DB00263,Sulfisoxazole,http://dbpedia.org/resource/Sulfafurazole
254,DB00264,Metoprolol,http://dbpedia.org/resource/Metoprolol
255,DB00265,Crotamiton,http://dbpedia.org/resource/Crotamiton
256,DB00266,Dicoumarol,http://dbpedia.org/resource/Dicoumarol
257,DB00267,Cefmenoxime,http://dbpedia.org/resource/Cefmenoxime
258,DB00268,Ropinirole,http://dbpedia.org/resource/Ropinirole
259,DB00269,Chlorotrianisene,http://dbpedia.org/resource/Chlorotrianisene
260,DB00270,Isradipine,http://dbpedia.org/resource/Isradipine
261,DB00271,Diatrizoate,http://dbpedia.org/resource/Diatrizoic_acid
262,DB00272,Betazole,http://dbpedia.org/resource/Betazole
263,DB00273,Topiramate,http://dbpedia.org/resource/Topiramate
264,DB00274,Cefmetazole,http://dbpedia.org/resource/Cefmetazole
265,DB00275,Olmesartan,http://dbpedia.org/resource/Olmesartan
266,DB00276,Amsacrine,http://dbpedia.org/resource/Amsacrine
267,DB00277,Theophylline,http://dbpedia.org/resource/Theophylline
268,DB00278,Argatroban,http://dbpedia.org/resource/Argatroban
269,DB00279,Liothyronine,http://dbpedia.org/resource/Liothyronine
270,DB00280,Disopyramide,http://dbpedia.org/resource/Disopyramide
271,DB00281,Lidocaine,http://dbpedia.org/resource/Lidocaine
272,DB00282,Pamidronate,http://dbpedia.org/resource/Pamidronic_acid
273,DB00283,Clemastine,http://dbpedia.org/resource/Clemastine
274,DB00284,Acarbose,http://dbpedia.org/resource/Acarbose
275,DB00285,Venlafaxine,http://dbpedia.org/resource/Venlafaxine
276,DB00286,Conjugated_estrogens,http://dbpedia.org/resource/Conjugated_estrogen
277,DB00287,Travoprost,http://dbpedia.org/resource/Travoprost
278,DB00288,Amcinonide,http://dbpedia.org/resource/Amcinonide
279,DB00289,Atomoxetine,http://dbpedia.org/resource/Atomoxetine
280,DB00290,Bleomycin,http://dbpedia.org/resource/Bleomycin
281,DB00291,Chlorambucil,http://dbpedia.org/resource/Chlorambucil
282,DB00292,Etomidate,http://dbpedia.org/resource/Etomidate
283,DB00293,Raltitrexed,http://dbpedia.org/resource/Raltitrexed
284,DB00294,Etonogestrel,http://dbpedia.org/resource/Etonogestrel
285,DB00295,Morphine,http://dbpedia.org/resource/Morphine
286,DB00296,Ropivacaine,http://dbpedia.org/resource/Ropivacaine
287,DB00297,Bupivacaine,http://dbpedia.org/resource/Bupivacaine
288,DB00298,Dapiprazole,http://dbpedia.org/resource/Dapiprazole
289,DB00299,Penciclovir,http://dbpedia.org/resource/Penciclovir
290,DB00300,Tenofovir_disoproxil,http://dbpedia.org/resource/Tenofovir_disoproxil
291,DB00301,Flucloxacillin,http://dbpedia.org/resource/Flucloxacillin
292,DB00302,Tranexamic_Acid,http://dbpedia.org/resource/Tranexamic_acid
293,DB00303,Ertapenem,http://dbpedia.org/resource/Ertapenem
294,DB00304,Desogestrel,http://dbpedia.org/resource/Desogestrel
295,DB00305,Mitomycin,http://dbpedia.org/resource/Mitomycins
296,DB00306,Talbutal,http://dbpedia.org/resource/Talbutal
297,DB00307,Bexarotene,http://dbpedia.org/resource/Bexarotene
298,DB00308,Ibutilide,http://dbpedia.org/resource/Ibutilide
299,DB00309,Vindesine,http://dbpedia.org/resource/Vindesine
300,DB00310,Chlorthalidone,http://dbpedia.org/resource/Chlortalidone
301,DB00311,Ethoxzolamide,http://dbpedia.org/resource/Ethoxzolamide
302,DB00312,Pentobarbital,http://dbpedia.org/resource/Pentobarbital
303,DB00313,Valproic_Acid,http://dbpedia.org/resource/Valproate
304,DB00314,Capreomycin,http://dbpedia.org/resource/Capreomycin
305,DB00315,Zolmitriptan,http://dbpedia.org/resource/Zolmitriptan
306,DB00316,Acetaminophen,http://dbpedia.org/resource/Paracetamol
307,DB00317,Gefitinib,http://dbpedia.org/resource/Gefitinib
308,DB00318,Codeine,http://dbpedia.org/resource/Codeine
309,DB00319,Piperacillin,http://dbpedia.org/resource/Piperacillin
310,DB00320,Dihydroergotamine,http://dbpedia.org/resource/Dihydroergotamine
311,DB00321,Amitriptyline,http://dbpedia.org/resource/Amitriptyline
312,DB00322,Floxuridine,http://dbpedia.org/resource/Floxuridine
313,DB00323,Tolcapone,http://dbpedia.org/resource/Tolcapone
314,DB00324,Fluorometholone,http://dbpedia.org/resource/Fluorometholone
315,DB00325,Nitroprusside,http://dbpedia.org/resource/Nitroprusside_reaction
316,DB00326,Calcium_Gluceptate,http://dbpedia.org/resource/Calcium_glucoheptonate
317,DB00327,Hydromorphone,http://dbpedia.org/resource/Hydromorphone
318,DB00328,Indomethacin,http://dbpedia.org/resource/Indometacin
319,DB00330,Ethambutol,http://dbpedia.org/resource/Ethambutol
320,DB00331,Metformin,http://dbpedia.org/resource/Metformin
321,DB00332,Ipratropium,http://dbpedia.org/resource/Ipratropium_bromide
322,DB00333,Methadone,http://dbpedia.org/resource/Methadone
323,DB00334,Olanzapine,http://dbpedia.org/resource/Olanzapine
324,DB00335,Atenolol,http://dbpedia.org/resource/Atenolol
325,DB00336,Nitrofural,http://dbpedia.org/resource/Nitrofural
326,DB00337,Pimecrolimus,http://dbpedia.org/resource/Pimecrolimus
327,DB00338,Omeprazole,http://dbpedia.org/resource/Omeprazole
328,DB00339,Pyrazinamide,http://dbpedia.org/resource/Pyrazinamide
329,DB00340,Metixene,http://dbpedia.org/resource/Metixene
330,DB00341,Cetirizine,http://dbpedia.org/resource/Cetirizine
331,DB00342,Terfenadine,http://dbpedia.org/resource/Terfenadine
332,DB00343,Diltiazem,http://dbpedia.org/resource/Diltiazem
333,DB00344,Protriptyline,http://dbpedia.org/resource/Protriptyline
334,DB00345,Aminohippuric_acid,http://dbpedia.org/resource/Aminohippuric_acid
335,DB00346,Alfuzosin,http://dbpedia.org/resource/Alfuzosin
336,DB00347,Trimethadione,http://dbpedia.org/resource/Trimethadione
337,DB00348,Nitisinone,http://dbpedia.org/resource/Nitisinone
338,DB00349,Clobazam,http://dbpedia.org/resource/Clobazam
339,DB00350,Minoxidil,http://dbpedia.org/resource/Minoxidil
340,DB00351,Megestrol_acetate,http://dbpedia.org/resource/Megestrol_acetate
341,DB00352,Tioguanine,http://dbpedia.org/resource/Tioguanine
342,DB00353,Methylergometrine,http://dbpedia.org/resource/Methylergometrine
343,DB00354,Buclizine,http://dbpedia.org/resource/Buclizine
344,DB00355,Aztreonam,http://dbpedia.org/resource/Aztreonam
345,DB00356,Chlorzoxazone,http://dbpedia.org/resource/Chlorzoxazone
346,DB00357,Aminoglutethimide,http://dbpedia.org/resource/Aminoglutethimide
347,DB00358,Mefloquine,http://dbpedia.org/resource/Mefloquine
348,DB00359,Sulfadiazine,http://dbpedia.org/resource/Sulfadiazine
349,DB00360,Sapropterin,http://dbpedia.org/resource/Tetrahydrobiopterin
350,DB00361,Vinorelbine,http://dbpedia.org/resource/Vinorelbine
351,DB00362,Anidulafungin,http://dbpedia.org/resource/Anidulafungin
352,DB00363,Clozapine,http://dbpedia.org/resource/Clozapine
353,DB00364,Sucralfate,http://dbpedia.org/resource/Sucralfate
354,DB00365,Grepafloxacin,http://dbpedia.org/resource/Grepafloxacin
355,DB00366,Doxylamine,http://dbpedia.org/resource/Doxylamine
356,DB00367,Levonorgestrel,http://dbpedia.org/resource/Levonorgestrel
357,DB00368,Norepinephrine,http://dbpedia.org/resource/Norepinephrine
358,DB00369,Cidofovir,http://dbpedia.org/resource/Cidofovir
359,DB00370,Mirtazapine,http://dbpedia.org/resource/Mirtazapine
360,DB00371,Meprobamate,http://dbpedia.org/resource/Meprobamate
361,DB00372,Thiethylperazine,http://dbpedia.org/resource/Thiethylperazine
362,DB00373,Timolol,http://dbpedia.org/resource/Timolol
363,DB00374,Treprostinil,http://dbpedia.org/resource/Treprostinil
364,DB00375,Colestipol,http://dbpedia.org/resource/Colestipol
365,DB00376,Trihexyphenidyl,http://dbpedia.org/resource/Trihexyphenidyl
366,DB00377,Palonosetron,http://dbpedia.org/resource/Palonosetron
367,DB00378,Dydrogesterone,http://dbpedia.org/resource/Dydrogesterone
368,DB00379,Mexiletine,http://dbpedia.org/resource/Mexiletine
369,DB00380,Dexrazoxane,http://dbpedia.org/resource/Dexrazoxane
370,DB00381,Amlodipine,http://dbpedia.org/resource/Amlodipine
371,DB00382,Tacrine,http://dbpedia.org/resource/Tacrine
372,DB00383,Oxyphencyclimine,http://dbpedia.org/resource/Oxyphencyclimine
373,DB00384,Triamterene,http://dbpedia.org/resource/Triamterene
374,DB00385,Valrubicin,http://dbpedia.org/resource/Valrubicin
375,DB00387,Procyclidine,http://dbpedia.org/resource/Procyclidine
376,DB00388,Phenylephrine,http://dbpedia.org/resource/Phenylephrine
377,DB00389,Carbimazole,http://dbpedia.org/resource/Carbimazole
378,DB00390,Digoxin,http://dbpedia.org/resource/Digoxin
379,DB00391,Sulpiride,http://dbpedia.org/resource/Sulpiride
380,DB00392,Ethopropazine,http://dbpedia.org/resource/Profenamine
381,DB00393,Nimodipine,http://dbpedia.org/resource/Nimodipine
382,DB00394,Beclomethasone_dipropionate,http://dbpedia.org/resource/Beclometasone_dipropionate
383,DB00395,Carisoprodol,http://dbpedia.org/resource/Carisoprodol
384,DB00396,Progesterone,http://dbpedia.org/resource/Progesterone
385,DB00397,Phenylpropanolamine,http://dbpedia.org/resource/Phenylpropanolamine
